experiment,experiment_label,layer,component,type,param_name,n_params,n_changed,n_unchanged,sparsity,n_changed_bf16,n_unchanged_bf16,sparsity_bf16
adamw_bf16,AdamW + BF16,21,up_proj,mlp,model.layers.21.mlp.up_proj.weight,13762560,270407,13492153,0.9803519839332218,270407,13492153,0.9803519839332218
adamw_bf16,AdamW + BF16,21,k_proj,attn,model.layers.21.self_attn.k_proj.weight,393216,8191,385025,0.9791692097981771,8191,385025,0.9791692097981771
adamw_bf16,AdamW + BF16,21,o_proj,attn,model.layers.21.self_attn.o_proj.weight,2359296,52085,2307211,0.9779234992133247,52085,2307211,0.9779234992133247
adamw_bf16,AdamW + BF16,21,q_proj,attn,model.layers.21.self_attn.q_proj.weight,2359296,51764,2307532,0.9780595567491319,51764,2307532,0.9780595567491319
adamw_bf16,AdamW + BF16,21,v_proj,attn,model.layers.21.self_attn.v_proj.weight,393216,7652,385564,0.9805399576822916,7652,385564,0.9805399576822916
adamw_bf16,AdamW + BF16,22,down_proj,mlp,model.layers.22.mlp.down_proj.weight,13762560,278576,13483984,0.9797584170386905,278576,13483984,0.9797584170386905
adamw_bf16,AdamW + BF16,22,gate_proj,mlp,model.layers.22.mlp.gate_proj.weight,13762560,247591,13514969,0.9820098150344122,247591,13514969,0.9820098150344122
adamw_bf16,AdamW + BF16,22,up_proj,mlp,model.layers.22.mlp.up_proj.weight,13762560,268247,13494313,0.9805089314778646,268247,13494313,0.9805089314778646
adamw_bf16,AdamW + BF16,22,k_proj,attn,model.layers.22.self_attn.k_proj.weight,393216,10794,382422,0.9725494384765625,10794,382422,0.9725494384765625
adamw_bf16,AdamW + BF16,22,o_proj,attn,model.layers.22.self_attn.o_proj.weight,2359296,44479,2314817,0.9811473422580295,44479,2314817,0.9811473422580295
adamw_bf16,AdamW + BF16,22,q_proj,attn,model.layers.22.self_attn.q_proj.weight,2359296,62112,2297184,0.9736735026041666,62112,2297184,0.9736735026041666
adamw_bf16,AdamW + BF16,22,v_proj,attn,model.layers.22.self_attn.v_proj.weight,393216,9806,383410,0.9750620524088541,9806,383410,0.9750620524088541
adamw_bf16,AdamW + BF16,23,down_proj,mlp,model.layers.23.mlp.down_proj.weight,13762560,274179,13488381,0.9800779070172991,274179,13488381,0.9800779070172991
adamw_bf16,AdamW + BF16,23,gate_proj,mlp,model.layers.23.mlp.gate_proj.weight,13762560,244838,13517722,0.9822098504929315,244838,13517722,0.9822098504929315
adamw_bf16,AdamW + BF16,23,up_proj,mlp,model.layers.23.mlp.up_proj.weight,13762560,261381,13501179,0.9810078212193081,261381,13501179,0.9810078212193081
adamw_bf16,AdamW + BF16,23,k_proj,attn,model.layers.23.self_attn.k_proj.weight,393216,8617,384599,0.9780858357747396,8617,384599,0.9780858357747396
adamw_bf16,AdamW + BF16,23,o_proj,attn,model.layers.23.self_attn.o_proj.weight,2359296,46503,2312793,0.9802894592285156,46503,2312793,0.9802894592285156
adamw_bf16,AdamW + BF16,23,q_proj,attn,model.layers.23.self_attn.q_proj.weight,2359296,50392,2308904,0.9786410861545138,50392,2308904,0.9786410861545138
adamw_bf16,AdamW + BF16,23,v_proj,attn,model.layers.23.self_attn.v_proj.weight,393216,8147,385069,0.9792811075846354,8147,385069,0.9792811075846354
adamw_bf16,AdamW + BF16,24,down_proj,mlp,model.layers.24.mlp.down_proj.weight,13762560,269575,13492985,0.9804124378022694,269575,13492985,0.9804124378022694
adamw_bf16,AdamW + BF16,24,gate_proj,mlp,model.layers.24.mlp.gate_proj.weight,13762560,247102,13515458,0.9820453462146578,247102,13515458,0.9820453462146578
adamw_bf16,AdamW + BF16,24,up_proj,mlp,model.layers.24.mlp.up_proj.weight,13762560,254524,13508036,0.9815060570126488,254524,13508036,0.9815060570126488
adamw_bf16,AdamW + BF16,24,k_proj,attn,model.layers.24.self_attn.k_proj.weight,393216,7478,385738,0.9809824625651041,7478,385738,0.9809824625651041
adamw_bf16,AdamW + BF16,24,o_proj,attn,model.layers.24.self_attn.o_proj.weight,2359296,44354,2314942,0.9812003241644965,44354,2314942,0.9812003241644965
adamw_bf16,AdamW + BF16,24,q_proj,attn,model.layers.24.self_attn.q_proj.weight,2359296,47547,2311749,0.9798469543457031,47547,2311749,0.9798469543457031
adamw_bf16,AdamW + BF16,24,v_proj,attn,model.layers.24.self_attn.v_proj.weight,393216,6737,386479,0.9828669230143229,6737,386479,0.9828669230143229
adamw_bf16,AdamW + BF16,25,down_proj,mlp,model.layers.25.mlp.down_proj.weight,13762560,259386,13503174,0.9811527797154018,259386,13503174,0.9811527797154018
adamw_bf16,AdamW + BF16,25,gate_proj,mlp,model.layers.25.mlp.gate_proj.weight,13762560,249709,13512851,0.9818559192475819,249709,13512851,0.9818559192475819
